"Site","ID","Orig","Origin","Genotype","TL.TP1_cm","TL.TP2_cm","TL.TP3_cm","TL.TP4_cm","Set","Site.Orig","TP1","TP2","TP1.2_days","T1.2_Ext_cm","T1.2_TLE_cm.day","TP3","TP4","TP3.4_days","T3.4_Ext_cm","T3.4_TLE_cm.day"
"SS","S12_N_7","N","Native","AC12",34.61,69.691,11.961,28.294,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,35.081,0.340592233009709,2022-03-27,2022-08-03,129,16.333,0.126612403100775
"SS","S12_N_8","N","Native","AC12",9.051,18.217,7.182,27.287,"SS.AC12.N","SS.N",2021-08-27,2021-12-08,103,9.166,0.0889902912621359,2022-03-27,2022-08-03,129,20.105,0.155852713178295
"SS","S12_T_1","T","Transplant","AC12",20.337,48.771,9.104,38.552,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,28.434,0.276058252427184,2022-03-27,2022-08-03,129,29.448,0.228279069767442
"SS","S12_T_13","T","Transplant","AC12",21.858,34.69,NA,NA,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,12.832,0.124582524271845,NA,NA,NA,NA,NA
"SS","S12_T_17","T","Transplant","AC12",25.33,50.411,8.765,37.293,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,25.081,0.243504854368932,2022-03-27,2022-08-03,129,28.528,0.221147286821705
"SS","S12_T_18","T","Transplant","AC12",16.574,28.23,NA,NA,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,11.656,0.113165048543689,NA,NA,NA,NA,NA
"SS","S12_T_2","T","Transplant","AC12",47.068,62.27,12.245,51.467,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,15.202,0.147592233009709,2022-03-27,2022-08-03,129,39.222,0.304046511627907
"SS","S12_T_20","T","Transplant","AC12",37.191,74.592,14.468,50.289,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,37.401,0.363116504854369,2022-03-27,2022-08-03,129,35.821,0.277682170542636
"SS","S12_T_3","T","Transplant","AC12",NA,NA,10.605,33.773,"SS.AC12.T","SS.T",NA,NA,NA,NA,NA,2022-03-27,2022-08-03,129,23.168,0.179596899224806
"SS","S12_T_4","T","Transplant","AC12",NA,NA,10.027,47.143,"SS.AC12.T","SS.T",NA,NA,NA,NA,NA,2022-03-27,2022-08-03,129,37.116,0.287720930232558
"SS","S12_T_5","T","Transplant","AC12",2.661,7.701,16.3,41.748,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,5.04,0.0489320388349514,2022-03-27,2022-08-03,129,25.448,0.197271317829457
"SS","S12_T_6","T","Transplant","AC12",27.956,59.447,9.735,25.554,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,31.491,0.30573786407767,2022-03-27,2022-08-03,129,15.819,0.122627906976744
"SS","S12_T_7","T","Transplant","AC12",21.519,51.988,11.118,42.818,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,30.469,0.295815533980583,2022-03-27,2022-08-03,129,31.7,0.245736434108527
"SS","S12_T_8","T","Transplant","AC12",41.542,71.513,14.121,42.9,"SS.AC12.T","SS.T",2021-08-27,2021-12-08,103,29.971,0.290980582524272,2022-03-27,2022-08-03,129,28.779,0.223093023255814
"SS","S8_N_1","N","Native","AC8",27.566,49.984,16.445,30.895,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,22.418,0.217650485436893,2022-03-27,2022-08-03,129,14.45,0.112015503875969
"SS","S8_N_14","N","Native","AC8",35.341,54.166,16.856,43.337,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,18.825,0.182766990291262,2022-03-27,2022-08-03,129,26.481,0.205279069767442
"SS","S8_N_15","N","Native","AC8",45.858,85.294,14.751,32.566,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,39.436,0.382873786407767,2022-03-27,2022-08-03,129,17.815,0.138100775193798
"SS","S8_N_2","N","Native","AC8",17.878,38.128,11.497,27.426,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,20.25,0.196601941747573,2022-03-27,2022-08-03,129,15.929,0.123480620155039
"SS","S8_N_3","N","Native","AC8",42.832,96.699,14.188,30.679,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,53.867,0.522980582524272,2022-03-27,2022-08-03,129,16.491,0.127837209302326
"SS","S8_N_4","N","Native","AC8",23.992,55.285,14.066,23.357,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,31.293,0.303815533980582,2022-03-27,2022-08-03,129,9.291,0.0720232558139535
"SS","S8_N_5","N","Native","AC8",20.64,46.402,16.814,36.145,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,25.762,0.250116504854369,2022-03-27,2022-08-03,129,19.331,0.149852713178295
"SS","S8_N_6","N","Native","AC8",27.182,51.919,11.278,28.489,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,24.737,0.240165048543689,2022-03-27,2022-08-03,129,17.211,0.133418604651163
"SS","S8_N_7","N","Native","AC8",27.271,51.152,10.832,23.991,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,23.881,0.231854368932039,2022-03-27,2022-08-03,129,13.159,0.102007751937984
"SS","S8_N_8","N","Native","AC8",20.15,45.441,15.298,36.328,"SS.AC8.N","SS.N",2021-08-27,2021-12-08,103,25.291,0.245543689320388,2022-03-27,2022-08-03,129,21.03,0.163023255813953
"SS","S8_T_1","T","Transplant","AC8",34.836,42.407,14.264,33.008,"SS.AC8.T","SS.T",2021-08-27,2021-12-08,103,7.571,0.073504854368932,2022-03-27,2022-08-03,129,18.744,0.145302325581395
